value,date_earliest,date_latest
17 Marts 1196,17.03.1196,17.03.1196
25 Juli 1216,25.07.1216,25.07.1216
udat  [1207-1217],01.01.1207,31.12.1217
6 Marts 1217,06.03.1217,06.03.1217
1 April 1217,01.04.1217,01.04.1217
5 Decbr  1220,05.12.1220,05.12.1220
12 Marts 1225,12.03.1225,12.03.1225
29 Septbr  1225,29.09.1225,29.09.1225
3 Novbr  1226,03.11.1226,03.11.1226
4 Novbr  1226,04.11.1226,04.11.1226
13 Febr  1229,13.02.1229,13.02.1229
9 Septbr  1231,09.09.1231,09.09.1231
5 Oktbr  1234,05.10.1234,05.10.1234
11 Oktbr  1234,11.10.1234,11.10.1234
11 mai 1237,11.05.1237,11.05.1237
11 Mai 1237,11.05.1237,11.05.1237
16 Mai 1237,16.05.1237,16.05.1237
15 Oktbr  1240,15.10.1240,15.10.1240
20 April 1241,20.04.1241,20.04.1241
8 Juli - 6 Juli 1241,06.07.1241,08.07.1241
8 Juli 1241,08.07.1241,08.07.1241
3 August 1243,03.08.1243,03.08.1243
15 Februar 1244,15.02.1244,15.02.1244
17 Septbr  1245,17.09.1245,17.09.1245
30 Oktbr  1246,30.10.1246,30.10.1246
3 Novbr  1246,03.11.1246,03.11.1246
6 Novbr  1246,06.11.1246,06.11.1246
7 Novbr  1246,07.11.1246,07.11.1246
8 Novbr  1246,08.11.1246,08.11.1246
29 Septbr  1247,29.09.1247,29.09.1247
19 Novbr  1247,19.11.1247,19.11.1247
9 Decbr  1247,09.12.1247,09.12.1247
19 Decbr  1247,19.12.1247,19.12.1247
3 Decbr  1250,03.12.1250,03.12.1250
21 Decbr  1250,21.12.1250,21.12.1250
18 Novbr  1252,18.11.1252,18.11.1252
12 Decbr  1252,12.12.1252,12.12.1252
23 Oktbr  1253,23.10.1253,23.10.1253
2 Januar 1254,02.01.1254,02.01.1254
udat  [1226-1254 ],01.01.1226,31.12.1254
10 Marts 1255,10.03.1255,10.03.1255
12 Marts 1255,12.03.1255,12.03.1255
